"STATISTIC","Statistic","TLIST(A1)","CensusYear","C02779V03348","County","C02199V02655","Sex","UNIT","VALUE"
"E2001","Population at Each Census 1841 to 2016","1851","1851","26","Monaghan","1","Male","Number","68827"
"E2001","Population at Each Census 1841 to 2016","1851","1851","26","Monaghan","2","Female","Number","72996"
"E2001","Population at Each Census 1841 to 2016","1861","1861","-","State","-","Both sexes","Number","4402111"
"E2001","Population at Each Census 1841 to 2016","1861","1861","-","State","1","Male","Number","2169042"
"E2001","Population at Each Census 1841 to 2016","1861","1861","-","State","2","Female","Number","2233069"
"E2001","Population at Each Census 1841 to 2016","1861","1861","01","Carlow","-","Both sexes","Number","57137"
"E2001","Population at Each Census 1841 to 2016","1861","1861","01","Carlow","1","Male","Number","28139"
"E2001","Population at Each Census 1841 to 2016","1861","1861","01","Carlow","2","Female","Number","28998"
"E2001","Population at Each Census 1841 to 2016","1861","1861","02","Dublin","-","Both sexes","Number","410252"
"E2001","Population at Each Census 1841 to 2016","1861","1861","02","Dublin","1","Male","Number","191435"
"E2001","Population at Each Census 1841 to 2016","1861","1861","02","Dublin","2","Female","Number","218817"
"E2001","Population at Each Census 1841 to 2016","1861","1861","03","Kildare","-","Both sexes","Number","90946"
"E2001","Population at Each Census 1841 to 2016","1861","1861","03","Kildare","1","Male","Number","48960"
"E2001","Population at Each Census 1841 to 2016","1861","1861","03","Kildare","2","Female","Number","41986"
"E2001","Population at Each Census 1841 to 2016","1861","1861","04","Kilkenny","-","Both sexes","Number","124515"
"E2001","Population at Each Census 1841 to 2016","1861","1861","04","Kilkenny","1","Male","Number","60317"
"E2001","Population at Each Census 1841 to 2016","1861","1861","04","Kilkenny","2","Female","Number","64198"
"E2001","Population at Each Census 1841 to 2016","1861","1861","05","Laois","-","Both sexes","Number","90650"
"E2001","Population at Each Census 1841 to 2016","1861","1861","05","Laois","1","Male","Number","45112"
"E2001","Population at Each Census 1841 to 2016","1861","1861","05","Laois","2","Female","Number","45538"
"E2001","Population at Each Census 1841 to 2016","1861","1861","06","Longford","-","Both sexes","Number","71694"
"E2001","Population at Each Census 1841 to 2016","1861","1861","06","Longford","1","Male","Number","36044"
"E2001","Population at Each Census 1841 to 2016","1861","1861","06","Longford","2","Female","Number","35650"
"E2001","Population at Each Census 1841 to 2016","1861","1861","07","Louth","-","Both sexes","Number","90713"
"E2001","Population at Each Census 1841 to 2016","1861","1861","07","Louth","1","Male","Number","44241"
"E2001","Population at Each Census 1841 to 2016","1861","1861","07","Louth","2","Female","Number","46472"
"E2001","Population at Each Census 1841 to 2016","1861","1861","08","Meath","-","Both sexes","Number","110373"
"E2001","Population at Each Census 1841 to 2016","1861","1861","08","Meath","1","Male","Number","55800"
"E2001","Population at Each Census 1841 to 2016","1861","1861","08","Meath","2","Female","Number","54573"
"E2001","Population at Each Census 1841 to 2016","1861","1861","09","Offaly","-","Both sexes","Number","90043"
"E2001","Population at Each Census 1841 to 2016","1861","1861","09","Offaly","1","Male","Number","45513"
"E2001","Population at Each Census 1841 to 2016","1861","1861","09","Offaly","2","Female","Number","44530"
"E2001","Population at Each Census 1841 to 2016","1861","1861","10","Westmeath","-","Both sexes","Number","90879"
"E2001","Population at Each Census 1841 to 2016","1861","1861","10","Westmeath","1","Male","Number","46218"
"E2001","Population at Each Census 1841 to 2016","1861","1861","10","Westmeath","2","Female","Number","44661"
"E2001","Population at Each Census 1841 to 2016","1861","1861","11","Wexford","-","Both sexes","Number","143954"
"E2001","Population at Each Census 1841 to 2016","1861","1861","11","Wexford","1","Male","Number","69104"
"E2001","Population at Each Census 1841 to 2016","1861","1861","11","Wexford","2","Female","Number","74850"
"E2001","Population at Each Census 1841 to 2016","1861","1861","12","Wicklow","-","Both sexes","Number","86479"
"E2001","Population at Each Census 1841 to 2016","1861","1861","12","Wicklow","1","Male","Number","44122"
"E2001","Population at Each Census 1841 to 2016","1861","1861","12","Wicklow","2","Female","Number","42357"
"E2001","Population at Each Census 1841 to 2016","1861","1861","13","Clare","-","Both sexes","Number","166305"
"E2001","Population at Each Census 1841 to 2016","1861","1861","13","Clare","1","Male","Number","82541"
"E2001","Population at Each Census 1841 to 2016","1861","1861","13","Clare","2","Female","Number","83764"
"E2001","Population at Each Census 1841 to 2016","1861","1861","14","Cork","-","Both sexes","Number","544818"
"E2001","Population at Each Census 1841 to 2016","1861","1861","14","Cork","1","Male","Number","269637"
"E2001","Population at Each Census 1841 to 2016","1861","1861","14","Cork","2","Female","Number","275181"
"E2001","Population at Each Census 1841 to 2016","1861","1861","15","Kerry","-","Both sexes","Number","201800"
"E2001","Population at Each Census 1841 to 2016","1861","1861","15","Kerry","1","Male","Number","99999"
"E2001","Population at Each Census 1841 to 2016","1861","1861","15","Kerry","2","Female","Number","101801"
"E2001","Population at Each Census 1841 to 2016","1861","1861","16","Limerick","-","Both sexes","Number","217277"
"E2001","Population at Each Census 1841 to 2016","1861","1861","16","Limerick","1","Male","Number","105712"
"E2001","Population at Each Census 1841 to 2016","1861","1861","16","Limerick","2","Female","Number","111565"
"E2001","Population at Each Census 1841 to 2016","1861","1861","17","Tipperary","-","Both sexes","Number","249106"
"E2001","Population at Each Census 1841 to 2016","1861","1861","17","Tipperary","1","Male","Number","122483"
"E2001","Population at Each Census 1841 to 2016","1861","1861","17","Tipperary","2","Female","Number","126623"
"E2001","Population at Each Census 1841 to 2016","1861","1861","18","Waterford","-","Both sexes","Number","134252"
"E2001","Population at Each Census 1841 to 2016","1861","1861","18","Waterford","1","Male","Number","64310"
"E2001","Population at Each Census 1841 to 2016","1861","1861","18","Waterford","2","Female","Number","69942"
"E2001","Population at Each Census 1841 to 2016","1861","1861","19","Galway","-","Both sexes","Number","271478"
"E2001","Population at Each Census 1841 to 2016","1861","1861","19","Galway","1","Male","Number","134057"
"E2001","Population at Each Census 1841 to 2016","1861","1861","19","Galway","2","Female","Number","137421"
"E2001","Population at Each Census 1841 to 2016","1861","1861","20","Leitrim","-","Both sexes","Number","104744"
"E2001","Population at Each Census 1841 to 2016","1861","1861","20","Leitrim","1","Male","Number","52562"
"E2001","Population at Each Census 1841 to 2016","1861","1861","20","Leitrim","2","Female","Number","52182"
"E2001","Population at Each Census 1841 to 2016","1861","1861","21","Mayo","-","Both sexes","Number","254796"
"E2001","Population at Each Census 1841 to 2016","1861","1861","21","Mayo","1","Male","Number","125636"
"E2001","Population at Each Census 1841 to 2016","1861","1861","21","Mayo","2","Female","Number","129160"
"E2001","Population at Each Census 1841 to 2016","1861","1861","22","Roscommon","-","Both sexes","Number","157272"
"E2001","Population at Each Census 1841 to 2016","1861","1861","22","Roscommon","1","Male","Number","79841"
"E2001","Population at Each Census 1841 to 2016","1861","1861","22","Roscommon","2","Female","Number","77431"
"E2001","Population at Each Census 1841 to 2016","1861","1861","23","Sligo","-","Both sexes","Number","124845"
"E2001","Population at Each Census 1841 to 2016","1861","1861","23","Sligo","1","Male","Number","61939"
"E2001","Population at Each Census 1841 to 2016","1861","1861","23","Sligo","2","Female","Number","62906"
"E2001","Population at Each Census 1841 to 2016","1861","1861","24","Cavan","-","Both sexes","Number","153906"
"E2001","Population at Each Census 1841 to 2016","1861","1861","24","Cavan","1","Male","Number","77503"
"E2001","Population at Each Census 1841 to 2016","1861","1861","24","Cavan","2","Female","Number","76403"
"E2001","Population at Each Census 1841 to 2016","1861","1861","25","Donegal","-","Both sexes","Number","237395"
"E2001","Population at Each Census 1841 to 2016","1861","1861","25","Donegal","1","Male","Number","115875"
"E2001","Population at Each Census 1841 to 2016","1861","1861","25","Donegal","2","Female","Number","121520"
"E2001","Population at Each Census 1841 to 2016","1861","1861","26","Monaghan","-","Both sexes","Number","126482"
"E2001","Population at Each Census 1841 to 2016","1861","1861","26","Monaghan","1","Male","Number","61942"
"E2001","Population at Each Census 1841 to 2016","1861","1861","26","Monaghan","2","Female","Number","64540"
"E2001","Population at Each Census 1841 to 2016","1871","1871","-","State","-","Both sexes","Number","4053187"
"E2001","Population at Each Census 1841 to 2016","1871","1871","-","State","1","Male","Number","1992468"
"E2001","Population at Each Census 1841 to 2016","1871","1871","-","State","2","Female","Number","2060719"
"E2001","Population at Each Census 1841 to 2016","1871","1871","01","Carlow","-","Both sexes","Number","51650"
"E2001","Population at Each Census 1841 to 2016","1871","1871","01","Carlow","1","Male","Number","25464"
"E2001","Population at Each Census 1841 to 2016","1871","1871","01","Carlow","2","Female","Number","26186"
"E2001","Population at Each Census 1841 to 2016","1871","1871","02","Dublin","-","Both sexes","Number","405262"
"E2001","Population at Each Census 1841 to 2016","1871","1871","02","Dublin","1","Male","Number","188108"
"E2001","Population at Each Census 1841 to 2016","1871","1871","02","Dublin","2","Female","Number","217154"
"E2001","Population at Each Census 1841 to 2016","1871","1871","03","Kildare","-","Both sexes","Number","83614"
"E2001","Population at Each Census 1841 to 2016","1871","1871","03","Kildare","1","Male","Number","44946"
"E2001","Population at Each Census 1841 to 2016","1871","1871","03","Kildare","2","Female","Number","38668"
"E2001","Population at Each Census 1841 to 2016","1871","1871","04","Kilkenny","-","Both sexes","Number","109379"
"E2001","Population at Each Census 1841 to 2016","1871","1871","04","Kilkenny","1","Male","Number","52965"
"E2001","Population at Each Census 1841 to 2016","1871","1871","04","Kilkenny","2","Female","Number","56414"
"E2001","Population at Each Census 1841 to 2016","1871","1871","05","Laois","-","Both sexes","Number","79771"
"E2001","Population at Each Census 1841 to 2016","1871","1871","05","Laois","1","Male","Number","39843"
"E2001","Population at Each Census 1841 to 2016","1871","1871","05","Laois","2","Female","Number","39928"
"E2001","Population at Each Census 1841 to 2016","1871","1871","06","Longford","-","Both sexes","Number","64501"
"E2001","Population at Each Census 1841 to 2016","1871","1871","06","Longford","1","Male","Number","32512"
"E2001","Population at Each Census 1841 to 2016","1871","1871","06","Longford","2","Female","Number","31989"
"E2001","Population at Each Census 1841 to 2016","1871","1871","07","Louth","-","Both sexes","Number","84021"
"E2001","Population at Each Census 1841 to 2016","1871","1871","07","Louth","1","Male","Number","41033"
"E2001","Population at Each Census 1841 to 2016","1871","1871","07","Louth","2","Female","Number","42988"
"E2001","Population at Each Census 1841 to 2016","1871","1871","08","Meath","-","Both sexes","Number","95558"
"E2001","Population at Each Census 1841 to 2016","1871","1871","08","Meath","1","Male","Number","48437"
"E2001","Population at Each Census 1841 to 2016","1871","1871","08","Meath","2","Female","Number","47121"
"E2001","Population at Each Census 1841 to 2016","1871","1871","09","Offaly","-","Both sexes","Number","75900"
"E2001","Population at Each Census 1841 to 2016","1871","1871","09","Offaly","1","Male","Number","38307"
"E2001","Population at Each Census 1841 to 2016","1871","1871","09","Offaly","2","Female","Number","37593"
"E2001","Population at Each Census 1841 to 2016","1871","1871","10","Westmeath","-","Both sexes","Number","78432"
"E2001","Population at Each Census 1841 to 2016","1871","1871","10","Westmeath","1","Male","Number","39804"
"E2001","Population at Each Census 1841 to 2016","1871","1871","10","Westmeath","2","Female","Number","38628"
"E2001","Population at Each Census 1841 to 2016","1871","1871","11","Wexford","-","Both sexes","Number","132666"
"E2001","Population at Each Census 1841 to 2016","1871","1871","11","Wexford","1","Male","Number","64199"
"E2001","Population at Each Census 1841 to 2016","1871","1871","11","Wexford","2","Female","Number","68467"
"E2001","Population at Each Census 1841 to 2016","1871","1871","12","Wicklow","-","Both sexes","Number","78697"
"E2001","Population at Each Census 1841 to 2016","1871","1871","12","Wicklow","1","Male","Number","39496"
"E2001","Population at Each Census 1841 to 2016","1871","1871","12","Wicklow","2","Female","Number","39201"
"E2001","Population at Each Census 1841 to 2016","1871","1871","13","Clare","-","Both sexes","Number","147864"
"E2001","Population at Each Census 1841 to 2016","1871","1871","13","Clare","1","Male","Number","73442"
"E2001","Population at Each Census 1841 to 2016","1871","1871","13","Clare","2","Female","Number","74422"
"E2001","Population at Each Census 1841 to 2016","1871","1871","14","Cork","-","Both sexes","Number","517076"
"E2001","Population at Each Census 1841 to 2016","1871","1871","14","Cork","1","Male","Number","256062"
"E2001","Population at Each Census 1841 to 2016","1871","1871","14","Cork","2","Female","Number","261014"
"E2001","Population at Each Census 1841 to 2016","1871","1871","15","Kerry","-","Both sexes","Number","196586"
"E2001","Population at Each Census 1841 to 2016","1871","1871","15","Kerry","1","Male","Number","97913"
"E2001","Population at Each Census 1841 to 2016","1871","1871","15","Kerry","2","Female","Number","98673"
"E2001","Population at Each Census 1841 to 2016","1871","1871","16","Limerick","-","Both sexes","Number","191936"
"E2001","Population at Each Census 1841 to 2016","1871","1871","16","Limerick","1","Male","Number","93112"
"E2001","Population at Each Census 1841 to 2016","1871","1871","16","Limerick","2","Female","Number","98824"
"E2001","Population at Each Census 1841 to 2016","1871","1871","17","Tipperary","-","Both sexes","Number","216713"
